Mesh Name,Date,Measurement #,Break #,Colors,User Data,Angle,Number of Vertices,Radius,x,y,z,fit,SegParam,Position
AV104_3N1SE_17R1_36700,Wed Feb  9 12:43:49 2022,1,1,Red/Blue, ,115.998093,182,0.506742,6.71847,1.8464,7.3279,0.000716,2,N
AV104_3N1SE_17R1_36700,Wed Feb  9 12:45:12 2022,2,1,Red/Blue, ,74.980362,179,0.505669,11.7077,2.18857,8.02719,0.001058,2,S
AV104_3N1SE_17R1_36700,Wed Feb  9 12:45:30 2022,3,1,Red/Blue, ,103.354027,168,0.510859,9.34472,2.24857,5.59934,0.001623,2,W
AV104_3N1SE_17R1_36700,Wed Feb  9 12:45:51 2022,4,1,Red/Blue, ,30.757565,163,0.486589,8.83684,2.64809,10.1498,0.000686,2,E
AV104_3N1SE_17R1_36700,Wed Feb  9 12:46:12 2022,5,1,Red/Blue, ,67.381287,170,0.493911,7.6164,2.4234,4.9926,0.002568,2,NW
AV104_3N1SE_17R1_36700,Wed Feb  9 12:46:46 2022,6,1,Red/Blue, ,71.694695,174,0.498699,11.2608,2.19601,6.5201,0.001149,2,SW
AV104_3N1SE_17R1_36700,Wed Feb  9 12:47:06 2022,7,1,Red/Blue, ,46.242176,177,0.496273,10.963,2.75168,9.5782,0.001644,2,SE
AV104_3N1SE_17R1_36700,Wed Feb  9 12:47:20 2022,8,1,Red/Blue, ,54.48761,188,0.512674,7.10918,2.01116,9.232,0.001529,2,NE
AV112_SHELL1_3N1ESE_17R2_36500,Wed Feb  9 12:48:51 2022,1,1,Red/Blue, ,105.848564,159,0.494307,8.0203,1.95176,10.5136,0.001844,2,N
AV112_SHELL1_3N1ESE_17R2_36500,Wed Feb  9 12:49:12 2022,2,1,Red/Blue, ,106.511993,171,0.485135,6.91751,1.38937,14.198,0.001153,2,S
AV112_SHELL1_3N1ESE_17R2_36500,Wed Feb  9 12:50:01 2022,3,1,Red/Blue, ,91.413834,155,0.480052,9.809,4.21627,12.7013,0.000788,2,W
AV112_SHELL1_3N1ESE_17R2_36500,Wed Feb  9 12:50:21 2022,4,1,Red/Blue, ,64.347748,165,0.479102,4.86081,1.25836,11.1361,0.001119,2,E
