PF,Lot,x,y,z,Slope,Orientation,Location,Group,Taxon,Length,Width,AreaBodyWhorl,LengthBodyWhorl,PerfLength,PerfWidth,AreaPerf,RatioBodyFull,RatioAreaPerf,Thickness,Note
2910,120,1.6312,2.9267,-0.1224,NA,NA,Sediment,N,Columbella rustica,14.3576,9.28456,80.988,10.6724,5.00384,6.267,32.756,0.743327576,0.404454981,0.4981,
2915,120,1.7666,2.8621,-0.0989,NA,NA,Sediment,N,Columbella rustica,15.6154,9.321,82.491,11.1559,5.164,5.6147,24.346,0.714416538,0.295135227,0.4024,
2916,120,1.763,2.8839,-0.1061,NA,NA,Sediment,N,Columbella rustica,15.5771,9.447,82.459,11.2918,4.9832,6.223,28.565,0.724897446,0.346414582,0.349,
2926,120,1.5718,2.9547,-0.124,NA,NA,Sediment,N,Turritella sp.,17.651,9.533,NA,NA,4.973,6.907,NA,NA,NA,NA,
3077,125,1.6244,2.8609,-0.1337,NA,NA,Sediment,N,Columbella rustica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chosen for dating
3381,125,1.7352,2.858,-0.1235,NA,NA,Sediment,N,Columbella rustica,15.353,8.8813,77.704,11.2308,5.941,5.897,31.398,0.731505243,0.404071862,0.382,
3484,125,1.6393,2.8546,-0.1421,NA,NA,Sediment,N,Glycymeris,31.44,19.908,NA,NA,5.147,5.025,NA,NA,NA,3.88,
3486,125,1.6721,2.8223,-0.1367,NA,NA,Sediment,N,Columbella rustica,13.5654,7.63616,64.771,9.0656,4.1667,4.779,16.475,0.66828844,0.25435766,0.2811,
3494,125,1.6575,2.8838,-0.1507,NA,NA,Sediment,N,Columbella rustica,13.997,8.551,73.395,10.0599,5.9121,5.9949,32.283,0.718718297,0.439852851,0.365,
3575,125,1.5319,2.8387,-0.1558,NA,NA,Sediment,N,Columbella rustica,13.6491,8.44958,71.475,10.1461,6.0719,6.84373,35.056,0.743353042,0.490465198,0.4472,
3578,125,1.6759,2.8809,-0.1596,NA,NA,Sediment,N,Columbella rustica,15.2933,9.48564,81.461,11.4855,5.87786,6.44172,34.211,0.75101515,0.419967837,0.3869,
3775,137,1.5446,2.9519,-0.1938,NA,NA,Head,N,Columbella rustica,16.2759,9.0067,84.465,11.7592,6.4933,5.95376,31.634,0.722491537,0.374521991,0.3276,
3777,137,1.5223,2.9114,-0.1892,NA,NA,Head,N,Columbella rustica,14.8385,9.16112,82.88,11.3635,5.9202,7.764,37.935,0.765811908,0.457709942,0.455,
3833,140,1.6789,2.86165,-0.20075,37.18871147,127.8227542,Feet,Y,Columbella rustica,13.4121,7.16974,60.753,9.54198,4.54198,4.54348,19.351,0.711445635,0.31851925,0.3778,
3834,140,1.67625,2.87775,-0.1998,29.49876389,64.60408815,Feet,Y,Columbella rustica,14.653,8.41,61.329,11.009,5.32,5.827,25.574,0.751313724,0.416996853,NA,No microCT
3835,140,1.67215,2.8554,-0.2003,26.30848144,166.2091331,Feet,Y,Columbella rustica,12.8681,7.7321,59.458,9.21758,4.76179,5.13229,22.382,0.716312432,0.376433785,0.3476,
3836,140,1.68255,2.86625,-0.20625,0.463229108,353.966747,Feet,Y,Columbella rustica,12.6718,8.24944,64.626,8.64108,3.81291,5.092558,19.301,0.681914172,0.298656887,0.3599,
