PF,perf.area,roughness,perf.side
2910,lower left,0.008462,Left
2910,lower left,0.005571,Left
2910,lower left,0.01881,Left
2910,lower left,0.009717,Left
2910,lower left,0.014613,Left
2910,lower left,0.006861,Left
2910,lower left,0.023621,Left
2910,lower left,0.004479,Left
2910,lower left,0.011446,Left
2910,lower left,0.016741,Left
2910,lower left,0.009008,Left
2910,lower left,0.040728,Left
2910,lower left,0.025712,Left
2910,lower left,0.009779,Left
2910,lower left,0.00415,Left
2910,lower left,0.012696,Left
2910,lower left,0.007499,Left
2910,lower left,0.010688,Left
2910,lower left,0.00774,Left
2910,lower left,0.006807,Left
2910,lower left,0.007734,Left
2910,lower left,0.007902,Left
2910,lower left,0.006355,Left
2910,lower left,0.009724,Left
2910,lower left,0.012786,Left
2910,lower left,0.012414,Left
2910,lower left,0.008727,Left
2910,lower left,0.006314,Left
2910,lower left,0.006545,Left
2910,lower left,0.007465,Left
2910,lower left,0.018256,Left
2910,lower left,0.012361,Left
2910,lower left,0.00841,Left
2910,lower left,0.004602,Left
2910,lower left,0.010413,Left
2910,lower left,0.005197,Left
2910,lower left,0.006559,Left
2910,lower left,0.037629,Left
2910,lower left,0.006244,Left
2910,lower left,0.00491,Left
2910,lower left,0.008957,Left
2910,lower left,0.004624,Left
2910,lower left,0.012624,Left
2910,lower left,0.010565,Left
2910,lower left,0.012892,Left
2910,lower left,0.011092,Left
2910,lower left,0.011427,Left
2910,lower left,0.004439,Left
2910,lower left,0.005231,Left
2910,lower left,0.004698,Left
2910,lower left,0.017081,Left
2910,lower left,0.005408,Left
2910,lower left,0.006043,Left
2910,lower left,0.005556,Left
2910,lower left,0.004515,Left
2910,lower left,0.011438,Left
2910,lower left,0.016264,Left
2910,lower left,0.005433,Left
2910,lower left,0.017487,Left
2910,lower left,0.004547,Left
2910,lower left,0.015432,Left
2910,lower left,0.007415,Left
2910,lower left,0.005361,Left
2910,lower left,0.008633,Left
2910,lower left,0.011187,Left
2910,lower left,0.011543,Left
2910,lower left,0.008555,Left
2910,lower left,0.013814,Left
2910,lower left,0.022012,Left
2910,lower left,0.008743,Left
2910,lower left,0.005339,Left
2910,lower left,0.005567,Left
2910,lower left,0.018755,Left
2910,lower left,0.004297,Left
2910,lower left,0.009488,Left
2910,lower left,0.007281,Left
2910,lower left,0.004432,Left
2910,lower left,0.008572,Left
2910,lower left,0.02462,Left
2910,lower left,0.005575,Left
2910,lower left,0.006274,Left
2910,lower left,0.01217,Left
2910,lower left,0.012828,Left
2910,lower left,0.006462,Left
2910,lower left,0.010293,Left
2910,lower left,0.033125,Left
2910,lower left,0.006311,Left
2910,lower left,0.006581,Left
2910,lower left,0.015481,Left
2910,lower left,0.008846,Left
2910,lower left,0.018752,Left
2910,lower left,0.00652,Left
2910,lower left,0.004848,Left
2910,lower left,0.011306,Left
2910,lower left,0.006604,Left
2910,lower left,0.010745,Left
2910,lower left,0.018706,Left
2910,lower left,0.007825,Left
2910,lower left,0.020757,Left
2910,lower left,0.009841,Left
2910,lower right,0.012193,Right
2910,lower right,0.020792,Right
2910,lower right,0.00533,Right
2910,lower right,0.019383,Right
2910,lower right,0.036742,Right
2910,lower right,0.011018,Right
2910,lower right,0.01761,Right
2910,lower right,0.025689,Right
2910,lower right,0.005914,Right
2910,lower right,0.004594,Right
2910,lower right,0.02467,Right
2910,lower right,0.008706,Right
2910,lower right,0.057331,Right
2910,lower right,0.007049,Right
2910,lower right,0.004273,Right
2910,lower right,0.007775,Right
2910,lower right,0.008711,Right
2910,lower right,0.007713,Right
2910,lower right,0.010049,Right
2910,lower right,0.010498,Right
2910,lower right,0.013863,Right
2910,lower right,0.040155,Right
2910,lower right,0.015236,Right
2910,lower right,0.034904,Right
2910,lower right,0.015713,Right
2910,lower right,0.057805,Right
2910,lower right,0.034904,Right
2910,lower right,0.01967,Right
2910,lower right,0.015184,Right
2910,lower right,0.026295,Right
2910,lower right,0.011336,Right
2910,lower right,0.030097,Right
2910,lower right,0.007027,Right
2910,lower right,0.010511,Right
2910,lower right,0.010688,Right
2910,lower right,0.00665,Right
2910,lower right,0.015189,Right
2910,lower right,0.006679,Right
2910,lower right,0.008046,Right
2910,lower right,0.023205,Right
2910,lower right,0.024139,Right
2910,lower right,0.026573,Right
2910,lower right,0.012471,Right
2910,lower right,0.004005,Right
2910,lower right,0.047106,Right
2910,lower right,0.012132,Right
2910,lower right,0.017918,Right
2910,lower right,0.009261,Right
2910,lower right,0.007867,Right
2910,lower right,0.005343,Right
2910,lower right,0.007191,Right
2910,lower right,0.014688,Right
2910,lower right,0.020846,Right
2910,lower right,0.006743,Right
2910,lower right,0.015843,Right
2910,lower right,0.006973,Right
2910,lower right,0.028744,Right
2910,lower right,0.013717,Right
2910,lower right,0.005952,Right
2910,lower right,0.054906,Right
2910,lower right,0.028866,Right
2910,lower right,0.004823,Right
2910,lower right,0.028716,Right
2910,lower right,0.01344,Right
2910,lower right,0.008466,Right
2910,lower right,0.006375,Right
2910,lower right,0.013851,Right
2910,lower right,0.010704,Right
2910,lower right,0.006317,Right
2910,lower right,0.005349,Right
2910,lower right,0.024713,Right
2910,lower right,0.011996,Right
2910,lower right,0.01311,Right
2910,lower right,0.008179,Right
2910,lower right,0.019488,Right
2910,lower right,0.00525,Right
2910,lower right,0.007439,Right
2910,lower right,0.009724,Right
2910,lower right,0.040498,Right
2910,lower right,0.014356,Right
2910,lower right,0.015006,Right
2910,lower right,0.007856,Right
2910,lower right,0.008882,Right
2910,lower right,0.022684,Right
2910,lower right,0.051958,Right
2910,lower right,0.052801,Right
2910,lower right,0.027937,Right
2910,lower right,0.006771,Right
2910,lower right,0.004785,Right
2910,lower right,0.030016,Right
2910,lower right,0.012742,Right
2910,lower right,0.005416,Right
2910,lower right,0.018039,Right
2910,lower right,0.007889,Right
2910,lower right,0.013562,Right
2910,lower right,0.008786,Right
2910,lower right,0.009116,Right
2910,lower right,0.01911,Right
2910,lower right,0.00403,Right
2910,lower right,0.007967,Right
2910,upper left,0.01052,Left
2910,upper left,0.005945,Left
2910,upper left,0.004233,Left
2910,upper left,0.014367,Left
2910,upper left,0.004903,Left
2910,upper left,0.009278,Left
2910,upper left,0.018012,Left
2910,upper left,0.011574,Left
2910,upper left,0.010577,Left
2910,upper left,0.009086,Left
2910,upper left,0.009839,Left
2910,upper left,0.006841,Left
2910,upper left,0.004771,Left
2910,upper left,0.018774,Left
2910,upper left,0.004208,Left
2910,upper left,0.005189,Left
2910,upper left,0.012219,Left
2910,upper left,0.004743,Left
2910,upper left,0.010869,Left
2910,upper left,0.016978,Left
2910,upper left,0.006907,Left
2910,upper left,0.009815,Left
2910,upper left,0.010219,Left
2910,upper left,0.017549,Left
2910,upper left,0.007385,Left
2910,upper left,0.005419,Left
2910,upper left,0.004218,Left
2910,upper left,0.005699,Left
2910,upper left,0.006674,Left
2910,upper left,0.007387,Left
2910,upper left,0.005465,Left
2910,upper left,0.004048,Left
2910,upper left,0.008391,Left
2910,upper left,0.019919,Left
2910,upper left,0.007624,Left
2910,upper left,0.006832,Left
2910,upper left,0.004654,Left
2910,upper left,0.020799,Left
2910,upper left,0.006869,Left
2910,upper left,0.004616,Left
2910,upper left,0.008902,Left
2910,upper left,0.005688,Left
2910,upper left,0.008516,Left
2910,upper left,0.00717,Left
2910,upper left,0.018323,Left
2910,upper left,0.004736,Left
2910,upper left,0.011944,Left
2910,upper left,0.004504,Left
2910,upper left,0.017515,Left
2910,upper left,0.008966,Left
2910,upper left,0.004198,Left
2910,upper left,0.012908,Left
2910,upper left,0.009908,Left
2910,upper left,0.01114,Left
2910,upper left,0.009757,Left
2910,upper left,0.011524,Left
2910,upper left,0.004083,Left
2910,upper left,0.006552,Left
2910,upper left,0.017846,Left
2910,upper left,0.006705,Left
2910,upper left,0.021812,Left
2910,upper left,0.023733,Left
2910,upper left,0.008946,Left
2910,upper left,0.012202,Left
2910,upper left,0.011975,Left
2910,upper left,0.012626,Left
2910,upper left,0.006994,Left
2910,upper left,0.015816,Left
2910,upper left,0.005406,Left
2910,upper left,0.010139,Left
2910,upper left,0.004523,Left
2910,upper left,0.016182,Left
2910,upper left,0.005914,Left
2910,upper left,0.024829,Left
2910,upper left,0.011786,Left
2910,upper left,0.008985,Left
2910,upper left,0.011973,Left
2910,upper left,0.011652,Left
2910,upper left,0.004372,Left
2910,upper left,0.012139,Left
2910,upper left,0.022386,Left
2910,upper left,0.014872,Left
2910,upper left,0.007035,Left
2910,upper left,0.007926,Left
2910,upper left,0.005193,Left
2910,upper left,0.017191,Left
2910,upper left,0.010645,Left
2910,upper left,0.008046,Left
2910,upper left,0.011684,Left
2910,upper left,0.027655,Left
2910,upper left,0.007071,Left
2910,upper left,0.011735,Left
2910,upper left,0.024799,Left
2910,upper left,0.010582,Left
2910,upper left,0.02094,Left
2910,upper left,0.005816,Left
2910,upper left,0.006496,Left
2910,upper left,0.011266,Left
2910,upper left,0.009298,Left
2910,upper left,0.016858,Left
2910,upper right,0.00644,Right
2910,upper right,0.015494,Right
2910,upper right,0.01244,Right
2910,upper right,0.011872,Right
2910,upper right,0.013884,Right
2910,upper right,0.013009,Right
2910,upper right,0.011234,Right
2910,upper right,0.009454,Right
2910,upper right,0.005059,Right
2910,upper right,0.005177,Right
2910,upper right,0.01101,Right
2910,upper right,0.008389,Right
2910,upper right,0.008316,Right
2910,upper right,0.015633,Right
2910,upper right,0.016777,Right
2910,upper right,0.008443,Right
2910,upper right,0.005,Right
2910,upper right,0.020811,Right
2910,upper right,0.008976,Right
2910,upper right,0.026066,Right
2910,upper right,0.013428,Right
2910,upper right,0.007314,Right
2910,upper right,0.024189,Right
2910,upper right,0.007034,Right
2910,upper right,0.006556,Right
2910,upper right,0.004066,Right
2910,upper right,0.01125,Right
2910,upper right,0.005779,Right
2910,upper right,0.008881,Right
2910,upper right,0.031025,Right
2910,upper right,0.024212,Right
2910,upper right,0.006692,Right
2910,upper right,0.01326,Right
2910,upper right,0.009163,Right
2910,upper right,0.006139,Right
2910,upper right,0.004253,Right
2910,upper right,0.016058,Right
2910,upper right,0.012125,Right
2910,upper right,0.018289,Right
2910,upper right,0.00416,Right
2910,upper right,0.008344,Right
2910,upper right,0.010399,Right
2910,upper right,0.017652,Right
2910,upper right,0.006793,Right
2910,upper right,0.016856,Right
2910,upper right,0.020003,Right
2910,upper right,0.013159,Right
2910,upper right,0.009274,Right
2910,upper right,0.008248,Right
2910,upper right,0.008158,Right
2910,upper right,0.011943,Right
2910,upper right,0.009376,Right
2910,upper right,0.0077210000000000004,Right
2910,upper right,0.006949,Right
2910,upper right,0.030421,Right
2910,upper right,0.006405,Right
2910,upper right,0.007544,Right
2910,upper right,0.01063,Right
2910,upper right,0.016048,Right
2910,upper right,0.011247,Right
2910,upper right,0.005099,Right
2910,upper right,0.014249,Right
2910,upper right,0.009756,Right
2910,upper right,0.008291,Right
2910,upper right,0.012873,Right
2910,upper right,0.013659,Right
2910,upper right,0.010835,Right
2910,upper right,0.009855,Right
2910,upper right,0.008965,Right
2910,upper right,0.015959,Right
2910,upper right,0.010167,Right
2910,upper right,0.007928,Right
2910,upper right,0.007137,Right
2910,upper right,0.004391,Right
2910,upper right,0.011289,Right
2910,upper right,0.005753,Right
2910,upper right,0.010557,Right
2910,upper right,0.02848,Right
2910,upper right,0.008813,Right
2910,upper right,0.004134,Right
2910,upper right,0.008189,Right
2910,upper right,0.008352,Right
2910,upper right,0.012556,Right
2910,upper right,0.029927,Right
2910,upper right,0.021192,Right
2910,upper right,0.007668,Right
2910,upper right,0.011231,Right
2910,upper right,0.024412,Right
2910,upper right,0.01224,Right
2910,upper right,0.023221,Right
2910,upper right,0.005307,Right
2910,upper right,0.013616,Right
2910,upper right,0.012635,Right
2910,upper right,0.01618,Right
2910,upper right,0.012407,Right
2910,upper right,0.020921,Right
